Academic Year,College,Ethnicity,Gender,Major,Math,Verbal,Writing,Total Score
"2,013",Arts & Sciences,Asian,Men,AUND,477,423,450,"1,350.00"
"2,013",Arts & Sciences,Asian,Men,AUND,508.8,451.2,480,"1,440.00"
"2,013",Arts & Sciences,Asian,Men,AUND,556.5,493.5,525,"1,575.00"
"2,013",Arts & Sciences,Asian,Men,AUND,588.3,521.7,555,"1,665.00"
"2,013",Arts & Sciences,Asian,Men,AUND,609.5,540.5,575,"1,725.00"
"2,013",Arts & Sciences,Asian,Men,AUND,620.1,549.9,585,"1,755.00"
"2,013",Arts & Sciences,Asian,Men,AUND,630.7,559.3,595,"1,785.00"
"2,013",Arts & Sciences,Asian,Men,AUND,636,564,600,"1,800.00"
"2,013",Arts & Sciences,Asian,Men,AUND,636,564,600,"1,800.00"
"2,013",Arts & Sciences,Asian,Men,BICM,651.9,578.1,615,"1,845.00"
"2,013",Arts & Sciences,Asian,Men,BIOL,514.1,455.9,485,"1,455.00"
"2,013",Arts & Sciences,Asian,Men,BIOL,598.9,531.1,565,"1,695.00"
"2,013",Arts & Sciences,Asian,Men,BIOL,598.9,531.1,565,"1,695.00"
"2,013",Arts & Sciences,Asian,Men,BIOL,614.8,545.2,580,"1,740.00"
"2,013",Arts & Sciences,Asian,Men,BIOL,625.4,554.6,590,"1,770.00"
"2,013",Arts & Sciences,Asian,Men,BIOL,641.3,568.7,605,"1,815.00"
"2,013",Arts & Sciences,Asian,Men,BSEP,572.4,507.6,540,"1,620.00"
"2,013",Arts & Sciences,Asian,Men,CHEM,466.4,413.6,440,"1,320.00"
"2,013",Arts & Sciences,Asian,Men,CHEM,540.6,479.4,510,"1,530.00"
"2,013",Arts & Sciences,Asian,Men,COMM,704.9,625.1,665,"1,995.00"
"2,013",Arts & Sciences,Asian,Men,ECON,503.5,446.5,475,"1,425.00"
"2,013",Arts & Sciences,Asian,Men,ECON,551.2,488.8,520,"1,560.00"
"2,013",Arts & Sciences,Asian,Men,ECON,630.7,559.3,595,"1,785.00"
"2,013",Arts & Sciences,Asian,Men,ENLI,710.2,629.8,670,"2,010.00"
"2,013",Arts & Sciences,Asian,Men,GEOG,561.8,498.2,530,"1,590.00"
"2,013",Arts & Sciences,Asian,Men,GEOG,588.3,521.7,555,"1,665.00"
"2,013",Arts & Sciences,Asian,Men,GNST,461.1,408.9,435,"1,305.00"
"2,013",Arts & Sciences,Asian,Men,GNST,588.3,521.7,555,"1,665.00"
"2,013",Arts & Sciences,Asian,Men,HIST,604.2,535.8,570,"1,710.00"
"2,013",Arts & Sciences,Asian,Men,HIST,620.1,549.9,585,"1,755.00"
"2,013",Arts & Sciences,Asian,Men,INST,514.1,455.9,485,"1,455.00"
"2,013",Arts & Sciences,Asian,Men,INST,593.6,526.4,560,"1,680.00"
"2,013",Arts & Sciences,Asian,Men,JADV,673.1,596.9,635,"1,905.00"
"2,013",Arts & Sciences,Asian,Men,LING,651.9,578.1,615,"1,845.00"
"2,013",Arts & Sciences,Asian,Men,MATH,424,376,400,"1,200.00"
"2,013",Arts & Sciences,Asian,Men,MATH,519.4,460.6,490,"1,470.00"
"2,013",Arts & Sciences,Asian,Men,MDTH,482.3,427.7,455,"1,365.00"
"2,013",Arts & Sciences,Asian,Men,MDTH,503.5,446.5,475,"1,425.00"
"2,013",Arts & Sciences,Asian,Men,MDTH,561.8,498.2,530,"1,590.00"
"2,013",Arts & Sciences,Asian,Men,MDTH,620.1,549.9,585,"1,755.00"
"2,013",Arts & Sciences,Asian,Men,PBCM,508.8,451.2,480,"1,440.00"
"2,013",Arts & Sciences,Asian,Men,PBCM,524.7,465.3,495,"1,485.00"
"2,013",Arts & Sciences,Asian,Men,PBIO,461.1,408.9,435,"1,305.00"
"2,013",Arts & Sciences,Asian,Men,PBIO,466.4,413.6,440,"1,320.00"
"2,013",Arts & Sciences,Asian,Men,PBIO,477,423,450,"1,350.00"
"2,013",Arts & Sciences,Asian,Men,PBIO,492.9,437.1,465,"1,395.00"
"2,013",Arts & Sciences,Asian,Men,PBIO,498.2,441.8,470,"1,410.00"
"2,013",Arts & Sciences,Asian,Men,PBIO,498.2,441.8,470,"1,410.00"
"2,013",Arts & Sciences,Asian,Men,PBIO,519.4,460.6,490,"1,470.00"
"2,013",Arts & Sciences,Asian,Men,PBIO,524.7,465.3,495,"1,485.00"
"2,013",Arts & Sciences,Asian,Men,PBIO,545.9,484.1,515,"1,545.00"
"2,013",Arts & Sciences,Asian,Men,PBIO,556.5,493.5,525,"1,575.00"
"2,013",Arts & Sciences,Asian,Men,PBIO,556.5,493.5,525,"1,575.00"
"2,013",Arts & Sciences,Asian,Men,PBIO,561.8,498.2,530,"1,590.00"
"2,013",Arts & Sciences,Asian,Men,PBIO,577.7,512.3,545,"1,635.00"
"2,013",Arts & Sciences,Asian,Men,PBIO,593.6,526.4,560,"1,680.00"
"2,013",Arts & Sciences,Asian,Men,PBIO,593.6,526.4,560,"1,680.00"
"2,013",Arts & Sciences,Asian,Men,PBIO,620.1,549.9,585,"1,755.00"
"2,013",Arts & Sciences,Asian,Men,PBIO,620.1,549.9,585,"1,755.00"
"2,013",Arts & Sciences,Asian,Men,PBIO,636,564,600,"1,800.00"
"2,013",Arts & Sciences,Asian,Men,PBIO,662.5,587.5,625,"1,875.00"
"2,013",Arts & Sciences,Asian,Men,PENG,636,564,600,"1,800.00"
"2,013",Arts & Sciences,Asian,Men,PJUR,614.8,545.2,580,"1,740.00"
"2,013",Arts & Sciences,Asian,Men,PRTF,498.2,441.8,470,"1,410.00"
"2,013",Arts & Sciences,Asian,Men,PRTF,535.3,474.7,505,"1,515.00"
"2,013",Arts & Sciences,Asian,Men,PRTF,614.8,545.2,580,"1,740.00"
"2,013",Arts & Sciences,Asian,Men,PRTF,657.2,582.8,620,"1,860.00"
"2,013",Arts & Sciences,Asian,Men,PRTF,657.2,582.8,620,"1,860.00"
"2,013",Arts & Sciences,Asian,Men,PRTF,667.8,592.2,630,"1,890.00"
"2,013",Arts & Sciences,Asian,Men,PSCI,561.8,498.2,530,"1,590.00"
"2,013",Arts & Sciences,Asian,Men,PSCI,657.2,582.8,620,"1,860.00"
"2,013",Arts & Sciences,Asian,Men,PSYC,445.2,394.8,420,"1,260.00"
"2,013",Arts & Sciences,Asian,Men,PSYC,519.4,460.6,490,"1,470.00"
"2,013",Arts & Sciences,Asian,Men,PSYC,620.1,549.9,585,"1,755.00"
"2,013",Arts & Sciences,Asian,Men,PSYC,667.8,592.2,630,"1,890.00"
"2,013",Arts & Sciences,Asian,Men,PSYC,699.6,620.4,660,"1,980.00"
"2,013",Arts & Sciences,Asian,Men,PSYC,731.4,648.6,690,"2,070.00"
"2,013",Arts & Sciences,Asian,Men,RTVF,593.6,526.4,560,"1,680.00"
"2,013",Arts & Sciences,Asian,Men,RTVF,625.4,554.6,590,"1,770.00"
"2,013",Arts & Sciences,Asian,Men,RTVF,662.5,587.5,625,"1,875.00"
"2,013",Arts & Sciences,Asian,Men,SLPA,567.1,502.9,535,"1,605.00"
"2,013",Arts & Sciences,Asian,Men,SOSC,625.4,554.6,590,"1,770.00"
"2,013",Arts & Sciences,Asian,Men,SOSC,646.6,573.4,610,"1,830.00"
"2,013",Arts & Sciences,Asian,Men,SOSC,651.9,578.1,615,"1,845.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,530,470,500,"1,500.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,577.7,512.3,545,"1,635.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,583,517,550,"1,650.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,583,517,550,"1,650.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,598.9,531.1,565,"1,695.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,609.5,540.5,575,"1,725.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,625.4,554.6,590,"1,770.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,630.7,559.3,595,"1,785.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,630.7,559.3,595,"1,785.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,646.6,573.4,610,"1,830.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,646.6,573.4,610,"1,830.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,646.6,573.4,610,"1,830.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,651.9,578.1,615,"1,845.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,651.9,578.1,615,"1,845.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,657.2,582.8,620,"1,860.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,662.5,587.5,625,"1,875.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,667.8,592.2,630,"1,890.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,667.8,592.2,630,"1,890.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,673.1,596.9,635,"1,905.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,678.4,601.6,640,"1,920.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,678.4,601.6,640,"1,920.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,678.4,601.6,640,"1,920.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,689,611,650,"1,950.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,689,611,650,"1,950.00"
"2,013",Arts & Sciences,Asian,Men,TAMS,694.3,615.7,655,"1,965.00"
